Word,Anger,Disgust,Fear,Joy,Sadness,Surprise,Real Word Flag
afraid,0.22330447882413865,0.22750657185912132,0.23180675971508027,0.2135714881122112,0.22186637875437737,0.2243000244796276,1
alse,0.23563433703780173,0.2404101927280426,0.2378469593822956,0.2301157282590866,0.23118792471289634,0.23518733766674996,0
apache,0.21830284374952316,0.22047797530889512,0.21564668926596642,0.20744199651479722,0.21466253131628035,0.21092828947305675,1
aphid,0.18363314659893512,0.19744647599756718,0.19416830369830132,0.17742184844613074,0.18782227909564972,0.18790434244275092,1
bale,0.21164206114411355,0.2200135004222393,0.21616987136006355,0.19584001205861568,0.2033763605058193,0.20622401839494706,1
bange,0.23931010925769805,0.24434319579601288,0.2415908549427986,0.22965411204099656,0.2348124575614929,0.23731566685438157,0
battle,0.21964698377251626,0.22415498325228692,0.22156047263741493,0.20097236761450768,0.2104408060312271,0.21423451912403108,1
bias,0.20829735717177392,0.21513230234384534,0.21439765256643295,0.20084568387269974,0.20786427468061447,0.20972763377428055,1
bizarre,0.2263566749691963,0.23091712391376495,0.23278085136413573,0.22150639384984971,0.2213309355676174,0.22853518202900885,1
bleve,0.22475778493285176,0.23057914331555365,0.22833386513590812,0.2217221185863018,0.22322653594613076,0.22578721243143082,0
blidge,0.20882800963521003,0.21962392029166222,0.21776468855142594,0.2083769568800926,0.21112976360321045,0.21245978266000748,0
blister,0.2207086337208748,0.22950131675601004,0.22351392868161202,0.2112708275914192,0.2241426856815815,0.21701620319485665,1
blour,0.2285208454430103,0.2319784301519394,0.23087544253468514,0.2233365722000599,0.22852783519029618,0.22706674337387084,0
blurnt,0.19485186550021172,0.19574300915002824,0.1977219577729702,0.19679700389504431,0.19272893962264062,0.19835342624783517,0
blusp,0.23100208818912507,0.2384506430923939,0.23605120101571084,0.22306225091218948,0.22827334198355675,0.23119534495472907,0
boarse,0.23031385952234265,0.23537961187958717,0.23295503592491149,0.22543809294700623,0.22595578840374947,0.22982856684923172,0
boil,0.2275539821088314,0.2362380720078945,0.234625078111887,0.20930654579401017,0.22389689499139787,0.22585699957609173,1
bowels,0.23078226467967033,0.23793382003903385,0.23551544386148454,0.2243488197028637,0.22562622866034507,0.23045379015803338,1
break,0.21674418553709984,0.22246508410573004,0.21993237793445586,0.20936902180314065,0.2164657589495182,0.21540092006325723,1
broil,0.23468292966485024,0.23857298901677132,0.23567452493309976,0.2308086262345314,0.22987024080753327,0.2331476940214634,1
broin,0.22714382669329644,0.23328998470306397,0.22889692217111587,0.21743780574202537,0.22552828893065452,0.22470526200532914,0
